COMPANY,CEO,TOWN,HQ,Field,email,phone
CREDIT POPULAIRE (Société Coopérative d'Epargne et de Crédit), Monsieur Lazare Kouokam Tamga (PCA), DOUALA, Zone Industrielle, Epargne et crédit, decoralia.events@yahoo.fr, 672158817
CROPLIFE CAMEROUN, Monsieur Jean BIAKATH (Président), DOUALA," Akwa, Bld Ahmadou Ahidjo, Mobile Bonakouamouang", Défense des intérêts de l'industrie phytosanitaire, infocameroun@deloitte.com, 650 83 26 12 / 693 01 69 39
CTA- SOTEXCAM S.A, Monsieur VIJAYA KUMAR GIDUTHURI(Directeur général), DOUALA," Bonapriso, Rue UTA, Immeuble Bonadouma Home, RDC"," Textile, Teinture", diabemoise@hotmail.fr, 233425443
CTC (CAMEROUN TOBACCO COMPANY), Monsieur MENGOT TABI TAMBE AMBANG Robinson, DOUALA," Bonanjo, CNPS Tower 8th floor", Commercialisation de cigarettes, detaenergy_sarl@yahoo.fr, 233 42 55 59/ 233 43 64 36
CWEN (Cameroon Women Entrepreneurs Network), Madame Marie Caroline Kingue (Présidente), DOUALA, Bali (Rue Dikoume Bell), Activité: Association (Promotion et défense des intérêts des femmes chefs d'entreprise), ousmanou.kouotou@dhl.com;, 2 33 42 74 14/6 99 31 72 89/ 6 79 76 54 53
DECORALIA, Madame Léonie KWEKAM (Directeur Général), DOUALA, Ndongbong (face ISTAM)," Evénementiel, location du matériel de décoration", dgfcm.cs@dhl.com, 233 41 51 11/233 20 20 01
DELOITTE, Monsieur Nemesius  MOUENDI MOUENDI(Associé), DOUALA," Bonanjo, face Yoomee"," Audit, comptabilité, conseil juridique et fiscal, conseil financier, conseil en système d'information", talom_justin@justawe.com," 233 42 36 36, 233500900"
DELTA INDUSTRIES INTERNATIONAL S.A., Monsieur Moïse DIABE(Président Directeur général), DOUALA," Bonanjo, 22, Rue Pierre Loti", Import -Export du Cacao et Café, ebtpbat@yahoo.fr; infos@djemo.cm, 233423872
DETAENERGY, Madame Louise Laure TALA KUATE(Directeur général), YAOUNDE, Yaoundé," Production d'énergie, placement", infos@my-dohone.com, 222 74 34 47 / 698 00 36 22
DHL EXPRESS, Monsieur OUSMANOU KOUOTOU (Directeur général), YAOUNDE," Yaoundé, mfou", Messagerie de transport, dovvcam@yahoo.fr, 222 01 86 11
DHL GLOBAL FORWARDING, Madame Véronique EBENYE EPANGUE (D.G), YAOUNDE, Etoa-Méki," Transport, Fret, Transit maritime", mbalkam@yahoo.fr, 243265918
Dino & Fils S.A., Monsieur Justin TALOM(Directeur général), YAOUNDE, Yaoundé, Sciage bois et exportation, hadidjatou.goggo@globeleq.cm, 2 22 20 43 02
DJEMO BTP, Monsieur Clovis NOUMSI DJEMO(Directeur général), DOUALA," Akwa, Boulevard République (face Comeci )", BTP, infos@dreamevent.biz, 699 39 14 60/233 42 97 52
DOHONE SA, Monsieur Wilfried NGAH (Directeur Général), DOUALA," Bali, Rue Bertaut", Agrégateur de paiement numérique, d.bouchval@bouygues-construction.com, 23343 00 35
DOVV Distribution Sarl, Monsieur  Philippe NOUBISSI TAGNE(Directeur général), DOUALA," Akwa, rue des écoles", Commerce général, experience@easygroup.agency, 672679689
DOWNSTREAM CONSULTING SA, Monsieur Patrice MBALLA(Président directeur général), YAOUNDE, Yaoundé," Conseil en distribution des produits pétroliers, gérance en mandat de station services, études et audits d'impact en environnement, placement du personnel temporaire", eca_sa@hotmail.com, 222 21 04 67
DPDC (DIBAMBA POWER DEVELOPMENT COMPANY), Monsieur Frédéric Didier MVONDO (Directeur Général), DOUALA," Bali, face super U", Production d'électricité," michel.toguem@ecoassurances.com, boniface.malapa@ecoassurances.com","  679164853, 695385040"
DREAM EVENT, Madame Jocelyne DIKOUME(Directeur général), DOUALA," Bonapriso, face castell hall", Prestation de services Evènementiel, ecobankcm@ecobank.com; mfall@ecobank.com, 233 42 94 50 /233 42 97 57
DTP CAMEROUN, Monsieur Daniel BOUCHVAL(Directeur général), DOUALA," Akwa, Rue Drouot  à côté DG MTN"," Terrassement, assainissement, génie civil, chaussée et voirie", contact@ecta-btp.com, 233 42 92 41/233 42 92 18
EASY PRINT, Monsieur Jesse Happy NDONGO (D.G), DOUALA, Bonanjo, Marketing et événementiel, p_marelis@yahoo.fr; edoketer@yahoo.fr;, 233 43 85 43/233 43 82 50 / 233 43 82 51 / 699 98 29 79
ECA-ERNST & YOUNG, Monsieur Jean TIENTCHEU(Directeur général), YAOUNDE," Elig-Essono, imm ancien Fonader"," Audit et conseil; tax & legal, TAS (transaction advisory services)", anda@efab-corporate.com, 222 22 00 87/222 22 04 65
ECO -ASSURANCES, Monsieur Michel TOGUEM(Directeur général), DOUALA, Akwa, Courtage d'assurance et de réassurance, ejongl@camnet.cm; egeccameroun@yahoo.fr, 233 42 69 25 /233 42 29 08
ECOBANK CAMEROUN, Mme. Gwendoline Abunaw(Directrice générale), Yaoundé," Avenue Ahmadou Ahidjo, face Djeuga Appart, à coté de Merina Hôtel (3ème  étage)", Services bancaires, contact.egis-cameroun@egiscameroun.com," 222 22 31 11, 690 41 52 58"
ECTA-BTP (ETABLISSEMENTS CAMEROUNAIS DES TECHNICIENS ASSOCIES EN BATIMENT ET TRAVAUX PUBLICS ), Monsieur Pierre MELI(Directeur général), DOUALA, Akwa Rue Drouot (bano palace) imprimerie moderne, Etude de projet et contrôle des travaux en BTP," info@electro-plomb.com, electroplomb@gmail.com", 233 43 29 11 /233 42 31 24
EDOK - ETER CAMEROUN S.A., Monsieur Panogiatis MARELIS(Directeur général), YAOUNDE," Yaoundé, Hyppodrome", Bâtiment et travaux publics," etravel@hotmail.com, eltausa@yahoo.fr, litombo.litumbe@cm.hrgworldwide.com", 222 22 11 85
EFAB CORPORATE SARL, Monsieur Emile Franklin ANDA BILE (Directeur Général), DOUALA," Douala, Rue Dr Jeamot, fac ancienne porte Laquintinie"," Conseils en Finance, Informatique et Communication"," emploiservice@emploiservice.cm, emploi_service@yahoo.fr", 233431624
EGEC (Entreprise générale d'Etudes et de Constructions), Monsieur Lucien EYOUM JONG(Directeur général), DOUALA," Akwa, rez-de-chaussez immeuble Afriland Akwa"," Génie-civil , bâtiments, Second œuvre", secretariat@enem-cameroun.cm; secretariat.enem@yahoo.fr, 233 42 21 09 /233 43 23 85/ 222 23 27 70/ 222 23 66 73
EGIS CAMEROUN SA, Monsieur Thomas BIECHE(Directeur général), DOUALA," Bali, Immeuble complexe la Gr", Bureaux d'Etudes, alexandre.siewe@eneo.cm, 233 42 71 75/233 42 52 61
ELECTRO-PLOMB Sarl, Monsieur Séraphin LEUBOU KOLIOU (Directceur Général), DOUALA, Bonabéri," Etudes, Travaux électriques, Froid et climatisation", info@evolvingconsulting.com, 233 39 02 55
ELTA HRG Cameroun Sarl, Monsieur LITOMBO NJIE LITUMBE(Directeur général), DOUALA," Bonanjo, Avenue De Gaule", Transport et tourisme, secretariat@expertiz.cm, 233 42 54 44 / 233 42 47 14 / 233 42 15 53/233 42 24 44
EMPLOI SERVICE S.A., Madame Colette Jeannine MINKA(Directeur général), DOUALA, Zone industrielle BASSA, Placement et Gestion du personnel, info@expressexchange.net,  243663573
ENEM, Monsieur Jean Paul LOWE(Président directeur général), YAOUNDE," Yaoundé, Carrefour Intendance", Mécanique générale - chaudronnerie - construction metallique, info@expressunion.com; spdg@expressunion.net, 698 15 60 46
ENEO CAMEROUN S.A., Monsieur Eric MANSUY (Directeur Général), DOUALA," Ndogbong, ancienne usine Codilait"," Production, transport et distribution d'énergie électrique"," faceaurisque@yahoo.fr, faceauxrisques@faceauxrisques.cm", 233 43 82 15 / 677 50 57 13
EURO COSMETICS, Monsieur Arsène KAMENI MONKAM, DOUALA," Akwa, douche"," Production, conditionnement et distribution produits cosmétiques"," fafinsa@noubruholding.com, rebeccabehem@gmail.com", 222 20 22 60
EVOLVING CONSULTING, Madame Reine ESSOBMADJE(Directeur général), YAOUNDE," Yaoundé, Etoa-meki", Conseil et Services en Technologies de l'Information et de la Communication, fayadort@fayadort.com, 233 41 17 28/699 69 95 22
EXPERTIZ Sarl, Achille PRISO EKWA (Directeur Général)," Ndogsimbi, face ancien CNPS Bassa", T2, Ingénierie industrielle," fermencam@gmail.com, secretariat.fermencam@gmail.com", 222 21 09 98
EXPRESS EXCHANGE, Monsieur Xavier TAKAM(Président Directeur général), YAOUNDE," Yaoundé, Tongolo,face ancien binam"," Transfert d'argent, change manuel", fimex@fimex-international.com, 233 42 83 41/ 233 42 50 57
EXPRESS UNION, Monsieur Chares NGHOGUO(Directeur général), DOUALA," Akwa, Rue batoula", Envoi  et réception rapide d'argent, Infos@financialhouse.cm, 677 93 37 27/677 99 11 50
FACE AUX RISQUES PROFESSIONNELS, Monsieur Arséne ENOKA(Directeur général), DOUALA," Bonabéri, Zone industrielle, carrefour Mutzig", Métier d'incendie, damase.gnonhossou@firsttrustcm.net; guillaume.ebele@firsttrustcm.net, 233 39 23 74 / 697 89 61 31
FAFINSA, Monsieur Samuel NZALI(Directeur général), DOUALA," Bonabéri, locaux Croplife, Rail", Fabrication et commercialisation de fils pour mercerie et broderie," Sikamj@simad.cm, Info@simad.cm", 222 22 60 64
FAYADORT S.A., Monsieur Isaac FANKAM YAMAKO(Président directeur général), YAOUNDE, Place de l'hôtel de ville, Fabrication et vente des matelas en ressort et lits en bois, reine.tamo@aec-cm.com, 233 43 80 41
FERMENCAM (Société Camerounaise de Fermentations), Monsieur Pierre TCHINDA(Directeur général), DOUALA," Akwa, face Zepol", Distillerie; liquoristerie, floreservices@yahoo.fr, 233 61 00 64 / 233 42 08 29
FIMEX INTERNATIONAL SA, Monsieur Christian  FOSSO(Directeur Général), DOUALA, Akwa . Avenue King Akwa," Protection et nutrition des plantes, + Biotechnologies végétales", fme@tafinvestment.com, 699 82 20 82 – 242 98 40 30 – 243 84 30 70
FINANCIAL HOUSE S.A., Monsieur Ronald ZOCK MACHIA(Directeur général), DOUALA," Akwa, Rue Pasteur LOTTIN SAME (Rue Laborex – Derrière l’église Native Baptist Church)", Micro finance, fodecc_06@yahoo.fr, 233 39 23 22
FIRST TRUST S.A, Monsieur Damase GNONHOSSOU Z.(Directeur général), DOUALA," Akwa, Blrd de la Liberté"," Epargne, financement, tranfert des fonds", lucienne.mafogang@fourelagadec.com; fl.cameroun@fourelagadec.com, 233 42 41 60
FIRSTRANSACT INTERNATIONAL SERVICES COMPANY (FISCO Sarl), Monsieur Claude Joel SIKAM DJUIMO (Président Directeur général), DOUALA," Bonaberi, Zone Industrielle"," prestations de services, négoce, import-export, derives pétroliers", joseph.biyiwoh@g4s.com, 233 43 01 08 / 699 00 08 27
FISC'AF SARL," Madame TAMO Reine Flore, Associée - Gérante", YAOUNDE," Yaoundé, Tsinga (Bonanjo,)"," Conseil juridique et fiscal agréé (Droit fiscal, Droit des sociétés, Droit social, Droit de la propriété intellectuelle… )", gap@gapconsultcm.com, 233 42 43 54/ 677 93 43 89
FLORE SERVICES SARL, Madame Nathalie Flore NNIA LENGUE (Directeur Général), DOUALA, Zone portuaire," Nétoyage industriel, entretien espaces verts", kuissutherese@yahoo.fr, 233 43 38 79
"FME - GAZ, Les Gaz Industriels du Cameroun"," M. Gaël Fotso et Olivier Fotso (Co-gérants), M. Victor Tientcheu (Directeur général)()", DOUALA, Bonapriso Carrefour armée de l'air," Production et distribution de gaz industriels et d'oxygène médical, fourniture et installation d'extincteurs automatique", generalbusiness@yahoo.fr, 690 07 42 80
FODECC (FONDS DE DEVELOPPEMENT DES FILIRES CACAO CAFE), Monsieur Samuel Donatien NENGUE(DG), DOUALA," le voyage, après immeule adrh apave", Promotion des filières Cacao et Café, gex_cam@yahoo.fr, 233437929
FOURE LAGADEC CAMEROUN, Monsieur  Giles FOURNIER (Directeur Général), DOUALA," Akwa, collège de la Salle, 3ème étage"," Prestations de services et fournitures diverses, assistance technique", gfbcam@yahoo.fr; ouoguia@yahoo.fr, 233 42 69 11
G4S Security Services Cameroon Plc, Monsieur Joseph BIYIWOH(Directeur général), DOUALA," Akwa, rue Focauld, n° 147", Sécurité, info@globallogistics.cm, 222 20 21 57/ 679 27 09 60
GAP CONSULT, Monsieur Alain-Pierre GAMENI NDEULE(Associé-Gérant), YAOUNDE, Beach," Expertise et audit comptable, conseil en gestion, conseil  fiscal", infos@globalservices-sarl.com, 233 42 94 87
GEFAD CONSULTING, Madame Thérèse Kuissu (Gérante), DOUALA," Yaoundé, Bastos"," Conseil juridique et fiscal, conseil en douane, formation", gpac_sg@syndicatsmaritimes.org, 233 43 79 22/233 18 07 50
GENERAL BUSINESS OF AFRICA, M. Elie Berlin FOKOU (PDG), DOUALA," Bonapriso, Rue Tokoto", Grande distribution, gpp_cam@yahoo.fr, 233 42 05 99
GEX (Groupement des Exportateurs Cacao/cafés), Monsieur Théodore EBOBO(Président), DOUALA, Bonanjo, Défense des intérêts des membres et de la profession, graphicssystem@hotmail.com, 233 42 74 59
GFBC (Groupement de la Filière Bois au Cameroun), Madame Michèle ROUCHER(Présidente du Comité exécutif), DOUALA," Bonapriso, GMI"," Exploitation forestière, trannsformation", bd.blazdesign@gmail.com, 699 82 29 91 / 699 31 46 51
GLOBAL LOGISTICS LTD, Monsieur NSANGOU MBOMBO ZOUNEDOU(Directeur général), Douala, S/C Tradex," Logistiques,  Négoce, prestations", focali2014@yahoo.fr, 222 202 366
GLOBAL SERVICES SARL, Monsieur Jean WATI(Directeur général), Yaoundé," Akwa, Place des Portiques", Transport/transit, interpressimprimerie@yahoo.fr, 233423896
GPAC (GROUPEMENT PROFESSIONNEL DES ACCONIERS DU CAMEROUN), M. Gabriel MABIMEN (Président); M. Georges Francis MOUTLEN (Secrétaire exécutif), DOUALA," Bastos, Rue du Golf", Acconage et manutention des marchandises au port de Douala, societenojema@yahoo.com, 699303029/222218032/222218031
GPP (GROUPEMENT DES PROFESSIONNELS DU PETROLE), Monsieur Perrial Jean NYODOG (Président), YAOUNDE," AKWA, 2193, Rue Jamot", Groupement des professionnels du pétrole," romeodeffo@yahoo.fr,", 233 43 11 63
GRAPHICS SYSTEM, Monsieur Jean Baptiste SANGA (DG), DOUALA, Rue Dragage à coté de l'ARMP," Consulting, Négoce, Marketing stratégique", secretariatgeneral.gimc@yahoo.com," 653959482, 698400349"
Groupe Blaz Design Management & Investment S.A," Monsieur Blaz J.E. Essomba, (Administrateur- Président Directeur Général)", DOUALA," Bali, 316 Rue Dikoume Bell", Commerce général, gts@gtsalarm.com; info@filtrex-cm.com/v.epesse@gts-filtrex.com, 233 42 46 18
GROUPE FOCALI, Monsieur Albert FONGANG (Président), Douala," Malangué, Hôpital Général"," Communication globale, imprimerie", infogalileo@travelportcwa.com, 233 42 28 84 / 233 42 60 41
GROUPE INTER PRESS, Madame Henriette SOURNAC(Président directeur général), DOUALA," 278, Place du Gouvernement,  Bonanjo", Prestation de service, guce-gie@guichetunique.org, 2 33 41 33 08
GROUPE NOJEMA, Monsieur  Jean Marie NOUTONG SOMDJEU(Président directeur général), DOUALA," Akwa, immeuble Decage", Enseignement privé laïc, jeanne.nji@diageo.com, 233 43 60 88/ 233 41 04 89
Groupe Scolaire Bilingue DUVAAL, Monsieur Roméo DEFFO TCHUMTCHOUA (Fondateur), DOUALA," DEIDO, 1er étage immeuble AZICCUL, (feu rouge Bessengue)"," Meunerie, Transformation de blé en farine (syndicat professionnel)"," info@gulfinstco.com, bayemi.eric@gulfinstco.com", 233 40 25 07 / 233 40 28 41 / 233 50 22 00
GROUPEMENT DES INDUSTRIES MEUNIERES DU CAMEROUN, M. Célestin Tawamba (Président); M. Alfred MOMO EBONGUE(Secrétaire Général), DOUALA," Bonanjo, immeuble camship"," Vidéo surveillance IP et numérique , contrôle d'accès et biométrie, extincteurs et extinction automatique, filres et système de filtration industriel, distribution d'eau et fontaines réfrigérantes, forage, électro-pompe", havasmediacameroun@havasmedia.com, 233 42 09 09 / 233 43 12 56
GTS- FILTREX, Monsieur Bruno DIE FOTIE(Directeur général), DOUALA, Bassa, Transport Aérien," bayo@hevecam.com, adama@hevecam.com", 233 50 12 38
GTW (GALILEO TRAVELPORT WORLDSPAN), Monsieur Georges SANGANG SIMO(Directeur général), DOUALA, Bonanjo, Facilitation des procédures du commerce extérieur, reservations.yaounde@hilton.com, Dla 233 42 62 74  / Niété 233 46 18 30
GUCE-GIE (Guichet Unique des Opérations du Commerce Extérieur), Monsieur Isidore BIYIHA(Directeur général), DOUALA," Akwa, immeuble PMUC, 6e étage", Brasserie, horizonphyto@horizonphytoplus.com, 222 23 36 46
GUINNESS CAMEROUN S.A., Monsieur ANDREW ROSS(Directeur général), YAOUNDE, Beach," Administration, gestion et contrôle des societes, opérations de capital risque; recherche de financement et de partenariat; Representation des societes; transport de petrole et des v racs liquides et toutes activités connexes; trading du pétrole brut et d", ho839@accor.com, 233 43 69 84/ 243 19 29 12
GULFIN S &T CO, Monsieur Albert BOUM (Administrateur Directeur Général), Douala, Yaoundé Blrd 20 mai, Communication-Publicité-Marketing, info@hotel-montfebe.com, 233 42 57 60 / 233 42 58 17 / 699 99 99 43
HAVAS AFRICA CAMEROUN, Monsieur Mohamed DIOP (Directeur général), DOUALA," Bonaberi, ZI Magzi"," Caoutchouc naturel, hévéaculture", reservation@hotelsawa.biz; hotelsawa@hotelsawa.com; lmpriso@hotelsawa.com, 222 21 40 02/222 20 81 01
HEVECAM S.A., Monsieur Eric HOCEPIED(Directeur général), YAOUNDE, Bonanjo, Hôtellerie, cameroon.office@hsd-melt.com, 233 50 14 00
HILTON YAOUNDE - CAMEROON HOTELS CORPORATION, Monsieur Julien BESANCON (Directeur général), DOUALA, Yaoundé," Importation et distribution de produits phytosanitaire, semence et produits chimiques", ngomom.serge@huawei.com, 233 15 78 04/698 84 36 68
HORIZON PHYTO PLUS SA, Monsieur Edouard BOUCHER (DG) ; Monsieur Pierre LEPHILIBERT (PCA), DOUALA," Bonanjo, 488, rue de Verdun", Hotelier - service, hydrac@camnet.cm, 222200199
HOTEL IBIS DOUALA, Monsieur Bruno BOIRON(Président Directeur général), YAOUNDE," Bonapriso, 85 Avenue de l'Indépendance (carrefour Hôtel de l'Air)", Hotellerie/tourisme, hysacam_dg@hysacam-proprete.com, 233 37 04 63 / 233 37 04 36 / 233 37 05 16
HOTEL MONT FEBE, Monsieur Nicolas TCHOBANG(Directeur général), DOUALA," Yaoundé, Bastos"," Hôtellerie, restauration", info@institutsaintjean.org, 233378087
HOTEL SAWA, Monsieur Pierre MOIFO(Directeur général), Douala," Bassa, à coté UCB"," Gestion du personnel temporaire et recrutement, prestation de services", istdi@yahoo.fr  /  scolarité@istidi.net, 242 73 87 08
HSD HUMAN RESOURCE SOLUTIONS LTD, Monsieur Hubert NANA (Directeur Général), DOUALA," Bassa, à côté de Asquini"," Services, Installation et maintenance Télécoms", inscriptions@siantou.net, 657079807
HUAWEI Technologies Company Cam, Monsieur LI JIGUANG (Directeur Général), YAOUNDE, Boulevad de la Liberté," Analyse et contrôle des hydrocarbures, des eaux, contrôles techniques, formation, contrôles non destructifs", infos@instrumelec.com, 243 00 13 92
HYDRAC SA (Hydrocarbures Analyses Contrôles), Monsieur David EKOUME(Directeur général), Douala," Yaoundé, Etok-Koss"," Collecte, transport et gestion des déchets ménagers", intek@intek-cm.com, 671 97 68 85
HYSACAM SA, Monsieur Michel NGAPANOUN (PDG), Yaoundé, Logbessou," ACQUISITION, MAINTENANCE INFRASTRUCTURES TELECOMS", interactivconsulting@yahoo.fr, 233 03 35 94/ 233 04 17 43 / 233 42 63 47
IHS CAMEROON, Monsieur ABDALLAH AL CHAMMAS(Directeur général), DOUALA," Akwa, rue bernabé"," Formation, enseignement supérieur", contact@its-nh.com, 222 22 22 10
INSTITUT SAINT JEAN, Père Jean Hervé (Directeur Général), YAOUNDE," Yaoundé, Rue NARVICK, FACE MINMAP", Etablissement d’enseignement supérieur, info@jeffersonsgroup.com, 242676285
INSTITUT UNIVERSITAIRE DE LA COTE, M. Paul Guimezap  (Président fondateur)  (), YAOUNDE," Yaoundé, derrière usine bastos"," Formation, enseignement supérieur", juritax@juritaxconseil.com, 670429217
INSTITUT UNIVERSITAIRE SIANTOU, Monsieur Lucien WANTOU SIANTOU (PDG), YAOUNDE, Nkolfoulou," Electricité Industrielle et tertiaire, électricité et intégrateur télécom, automatismes industiels et du bâtiment, énergies renouvelables et efficacité énergétique, SAV", sales@kamiini.com, 233 42 65 66
INSTRUMELEC CAMEROUN, Monsieur Alphonse BEDEL MILOL(Directeur général), Douala, Boulevard de la Liberté (Akwa), Vente de matériel informatique, komson.company@yahoo.com, 233 42 47 98
INTEK, Monsieur Isidore TEGUIA KAMDEM(Président du Conseil d'administration), Douala," 316, rue Victoria, Immeuble Victoria - Bonanjo"," Conseils en communiction, marketing et gestion  événementiel", hadidjatou.goggo@globeleq.cm, 233 42 15 96
INTER'ACTIV CONSULTING SARL, Monsieur Alphonse ATEBA NOA (Directeur Général), DOUALA, Akwa 576 Rue Foch," Informatique générale, développement et intégration de solutions informatiques", rlibong@kpmg.cm, 233 41 50 29 / 233 59 12 23 / 699 25 22 04
IT SERVICES SARL, Monsieur William KOUONTCHOU NOUBI (Directeur Général), DOUALA, ndogbong," Télécommunications, Commerce général, Tourisme", lanegresses.a.r.l@yahoo.fr; ottoucressence@hahoo.fr, 233 43 00 35
JEFFERSONS GROUP, M. Paul Elvice Sokoudjou  (CEO)(), DOUALA," Bali, Rue Bertaut", Conseil fiscal, lanouvelleexpression2005@yahoo.fr; setchounkeu@yahoo.fr, 233 43 96 79 / 233 43 23 06
JURITAX CONSEIL SARL, Mme. Laure Kenmogne Djoumessi  (Gérante)(), Douala," Rue Victoria, Bonanjo"," Consulting, Automatique", lapasta@cadyst-invest.com,  674 19 19 74 / 677 54 81 41
KAMIINI PRIVATE LLC, Monsieur Mike NJIMINI(Directeur général), DOUALA," Bonanjo, face CRTV"," Transport de marchandises, colis, déménagement, commerce général", victoirelajoie@premier-africa.com, 233 43 22 27/ 233 00 82 83
KOMSON AFRICA LOGISTIC, Monsieur  Ignace DJOUM KOMGUEM(Gérant), DOUALA," Akwa, immeuble equinoxe", Production d'électricité, infosolution@solutionchimie.com; jeanbosconjoya@solutionchimie.com, 233 39 29 16
KPDC (KRIBI POWER DEVELOPMENT COMPANY), Monsieur Hans Françis SIMB NAG (D.G), DOUALA," Bonabéri, après les rails"," Expertise comptable, Conseil, Taxe", biopharma@camnet.cm, 233424814; 677701750
KPMG AFRIQUE CENTRALE, M. René Libong  (Associé directeur général)(), DOUALA, Akwa, Téléphonie mobile, roger.nono@lmtgroup.com, 691 59 96 86 / 694 42 05 18
LA NEGRESSE Sarl, Madame Crescence OTTOU(Directeur général), DOUALA, Douala 3ème, Communication, logicalinvestmentsarl@gmail.com, 233 37 53 77 / 233 37 53 78
LA NOUVELLE EXPRESSION, Monsieur Séverin TCHOUNKEU(Directeur général), DOUALA," Bassa, zone industrielle", Production de farine de blé et semoule, agence.lothe@yahoo.fr, 222207855
LA PASTA SA, Monsieur Célestin TAWAMBA(Président directeur général); M. Cyrille DJOFANG(Directeur général adjoint), YAOUNDE," Yaoundé, Rue CEPER"," Loterie, Pari sportif", contact@stemahima.com, 222 15 72 00
LA ROYALE DES JEUX DU CAMEROUN, Monsieur Joseph Lajoie KUIYA, DOUALA, Douche-Akwa," spécialités chimiques, traitements des eaux, nettoyage industriel, Import -export", begesth@yahoo.fr, 222204870
LA SOLUTION, Monsieur Jean Bosco NJOYA(Directeur général), YAOUNDE," Yaoundé, Nouvelle route Bastos", Industrie cosmétique et pharmaceutique, matlec@matlec.com, 233 43 15 93/ 233 42 61 82
LES LABORATOIRES BIOPHARMA, Monsieur Francis NANA DJOMOU(Directeur général), DOUALA, Akwa, Prestations de services télécoms, info@mazars.cm, 233 42 69 33(Dla) 222 25 10 83 (Ngaoundéré)
LMT GROUP (AXESS) SA, Monsieur Alexis NANGNOU (D.G), DOUALA," Zone Portuaire, locaux SGMC", Transformation Bois - BTP, smaputh@hotmail.com, 233 43 31 99/ 233 43 42 03
LOGISCAL INVESTMENT SARL, Monsieur Eric TCHAMO MEKONTSO(Directeur général), DOUALA," Akwa, Beach, vers Rwking"," Conseil, Audit, Risk management", carole@me-msolutions.com; carolembessa@hotmail.com, 233 42 55 48 / 233 42 42 47/(LD Prési 233 42 42 47)
LOTHE Consulting, Monsieur LOTHIN Louis Deshamps (D.G), DOUALA," Akwa planet hotel, à coté cabinet okalla"," Commerce général,import-export, supermaché", doohcollins@mediapluscam.com, 233 47 82 00/ 233 47 82 01
MAHIMA SARL, Monsieur DEVI DAS UDHARAM RAJWANI(Directeur général), DOUALA," Bonamoussadi, Zone A", Culture et transformation de maïs, claudelen.maellet@melodius.fr, 697 00 60 53
MAÏSCAM SA, Monsieur ANTONIO DA COSTA(Directeur général), YAOUNDE, Yaoundé Bastos," Vente de matériel et équipement électriques, froid et climatisation", info@metch-elec.com; metchelecdla@yahoo.fr, 233 43 07 22 / 233 43 35 18
MAT-LEC, Monsieur Mathias TSAGUE(Directeur général), DOUALA," Bali, a coté somatel"," Audit,expertise comptable et conseil juridique et fiscal", metropolitan_secretariat@yahoo.com; metropolitan_sm@yahoo.com, 678 531 201
MAZARS CAMEROUN, Monsieur Lucien RIQUIER(Président directeur général), YAOUNDE, Yaoundé Elig-Essono, Grande distribution de produits de consommation, misterclean87@gmail.com, 233 42 57 99/ 233 43 77 90/ 233 47 63 91
MC DISTRIBUTION, Monsieur Michel CRULIS(Directeur général), DOUALA, Akwa Rue Dobelle, Services informatiques, info@mitchimie.com; emmanuelwafo@mitchimie.com, 233 35 15 45 / 233 35 15 46
ME MULTIMEDIA SOLUTIONS, Madame Carole MBESSA(Directeur général), LIMBE, Limbé, Communication publicitaire, molige_sarl@yahoo.fr, 233 42 90 54
MEDIA PLUS SARL, Monsieur Albert DOOH  COLLINS(Directeur général), DOUALA," Akwa, derrière Douala Bar", Conseil-Formation-Coaching, contact@mpsolutions.org, 233 40 45 29
MELODIUS Consulting, Madame Claudélen MEALLET(Directeur général), DOUALA," Bassa, face ancien cnps"," Travaux d'ordre électrique, fournitures électriques, fourniture poteaux bois traités", infos@msmi-cameroun.com, 233 15 10 14
METCH-ELEC, Monsieur Gilbert METCHEKA(Directeur général), DOUALA," Ndogbong, derrière camlait", Production et distribution des cartons, mta.cameroun@mta-dc.com, 243 245 271/ 694 27 69 20/ 699 92 16 30
METROPOLITANS PLASTICS S.A., Monsieur RAJENDRAKUMAR AMARBAHADUR(Directeur général), Douala, Rue Dikoume Bell (rue 1131)," Entretien, Nettoyage, Hygiène et Assainissement", Suzanne.Hot@mtn.com; marie-louise.nkembe@mtn.com; yetna_d@mtncameroon.net, 233 37 80 70/696 13 91 32
MISTER CLEAN, Monsieur Pierre NDEMA(Gérant), DOUALA, Zone Industrielle Bassa (derrière ICRAFON),"  Distribution de produits chimiques et matière plastiques, fabrication d'emballages plastiques et préformes PET", omultiprint@yahoo.fr, 233 42 58 98
MIT CHIMIE, Monsieur Emmanuel  WAFO FOKO(Directeur général), DOUALA," Bonanjo, face SGCam", AGRO INDUSTRIE, nino@nacydate.com, 679 00 90 00
MOLIGE S.A.R.L, Monsieur Jean Baptiste HOMSI(Directeur général), Douala, Akwa, Prestation de services," nalbusiness@nalbusiness.cm, L.nintcheu@nalbusiness.cm", 233 42 30 35/ 233 43 06 17
MP SOLUTIONS SARL, M. Mbile Pfouehr (DG)(), DOUALA, Bonabéri," Fabrication Mécanique, Maintenance industrielle, Industrie de transformation", contact@name-recycling.com, 693479957
MSMI (MULTI SERVICES MATERIEL INDUSTRIEL SARL), Madame NGO YETNA Augustine  Audrey(Directeur général), DOUALA, Maképé," Transport colis fret, service postal, intermediation commerciale, hôtellerie, restauratio, entretien", infi@nfcbanksa.com, 233 43 43 37
